t(ms),Vm(mV)
0.0,-11.276925815721878
0.1,-13.445232827242444
0.2,-17.543806108695094
0.3,-22.152539355560638
0.4,-26.918949162025378
0.5,-31.36593677678594
0.6,-34.8292261132728
0.7,-38.36728465705348
0.8,-40.817883573662925
0.9,-43.04163169807482
1.0,-44.86101574222426
1.1,-46.08173749395997
1.2,-47.31212329289692
1.3,-47.96114035756975
1.4,-48.71697057551945
1.5,-49.35123725235879
1.6,-49.60606291803362
1.7,-49.97990895450269
1.8,-50.11825741969938
1.9,-50.20981155107957
2.0,-50.47480989801886
2.1,-50.289667099005605
2.2,-50.34866865033951
2.3,-50.37816942600646
2.4,-50.170646728211366
2.5,-50.17064672821138
2.6,-50.09129981434856
2.7,-49.61216652679231
2.8,-49.65489178810303
2.9,-49.11879148546576
3.0,-48.88481981638309
3.1,-48.489611149258664
3.2,-47.84568042521807
3.3,-47.18954248366014
3.4,-46.308079652094314
3.5,-44.66875206632589
3.6,-42.235446707866025
3.7,-33.716334782940415
3.8,-20.196841382467387
3.9,-12.454922306146843
4.0,-11.74385188576079
4.1,-14.869916838330662
4.2,-19.421683070115204
4.3,-24.016683197273718
4.4,-28.98298619058518
4.5,-32.63396149640141
4.6,-36.39073268736807
4.7,-39.37285420004578
4.8,-41.75326161593042
4.9,-43.77457338317947
5.0,-45.38185702296483
5.1,-46.53798224867119
5.2,-47.658503089951935
5.3,-48.19663792884209
5.4,-49.11675694921289
5.5,-49.365479006129036
5.6,-49.80900790925969
5.7,-50.0745148902622
5.8,-50.066885379313845
5.9,-50.362401770046525
6.0,-50.3944457160296
6.1,-50.25406271457998
6.2,-50.38935937539736
6.3,-50.26423539584445
6.4,-50.1843798479184
6.5,-50.14368912286055
6.6,-49.770860354517936
6.7,-49.71338470537372
6.8,-49.41685104651457
6.9,-49.05521222756287
7.0,-48.747997253376056
7.1,-48.26530352737722
7.2,-47.57254393326721
7.3,-46.954553546451024
7.4,-45.707382823427686
7.5,-44.054322117952246
7.6,-39.693802293939626
7.7,-28.285140255842933
7.8,-16.098268101014725
7.9,-11.473767198189263
8.0,-12.703644363062997
8.1,-16.6674296177615
8.2,-21.046768902113374
8.3,-26.22771547010503
8.4,-30.367996744742
8.5,-34.2748149843595
8.6,-37.664861015742225
8.7,-40.37689784084841
8.8,-42.582335138984256
8.9,-44.51361867704281
9.0,-45.84471402049795
9.1,-47.188016581470464
9.2,-47.66511533277382
9.3,-48.69255614048472
9.4,-49.22611327280588
9.5,-49.50382747132576
9.6,-49.958037689784085
9.7,-50.10554156811881
9.8,-50.13300780753286
9.9,-50.51702652526638
10.0,-50.20879428295312
10.1,-50.392919813839924
10.2,-50.394445716029594
10.3,-50.107576104371695
10.4,-50.350194552529175
10.5,-49.900053406576625
10.6,-49.76882581826505
10.7,-49.69151344065511
10.8,-49.23425141781743
10.9,-48.917372396429386
11.0,-48.58981205971363
11.1,-47.897052465603615
11.2,-47.49726609191019
11.3,-46.348261743088955
11.4,-45.29030289158465
11.5,-42.86259250782025
11.6,-36.07029322753745
11.7,-22.621499961852447
11.8,-13.373006790264746
11.9,-11.401032527148343
12.0,-14.246331476819005
12.1,-18.23046209404644
12.2,-23.310699117519896
12.3,-27.89450929528751
12.4,-32.01342793926909
12.5,-35.648635589125405
12.6,-38.865237404949006
12.7,-41.18308283105719
12.8,-43.61231911701127
12.9,-44.91696548917882
13.0,-46.53187863991252
13.1,-47.36552986953536
13.2,-48.14221408407721
13.3,-48.90058747234303
13.4,-49.39701431804888
13.5,-49.66760763968363
13.6,-50.122835126268406
13.7,-50.02161694768699
13.8,-50.42343785763331
13.9,-50.28356349024693
14.0,-50.263218127718005
14.1,-50.40716156761017
14.2,-50.3069606571552
14.3,-50.183362579791954
14.4,-50.23270008392462
14.5,-49.81460288395512
14.6,-49.833422344294405
14.7,-49.495180692250955
14.8,-49.186439815874465
14.9,-48.76630807965209
15.0,-48.2627603570611
15.1,-47.81872281986725
15.2,-46.972355738663836
15.3,-45.991709264769476
15.4,-44.47750565855395
15.5,-40.98675008265304
15.6,-31.08059306731771
15.7,-17.98326593931996
15.8,-11.634495562167798
15.9,-12.303857989369549
16.0,-15.612013936573334
16.1,-20.344345260802115
16.2,-25.13262633198546
16.3,-29.624882378372885
16.4,-33.547976908013524
16.5,-37.056534676127264
16.6,-39.80366725159585
16.7,-42.26749065384909
16.8,-43.96073345031917
16.9,-45.72365911345084
17.0,-46.906233310444804
17.1,-47.59339792985936
17.2,-48.597950204725215
17.3,-49.115739681086446
17.4,-49.404135194934014
17.5,-50.00483202360062
17.6,-49.963632664479526
17.7,-50.29780524401719
17.8,-50.32832328781057
17.9,-50.23575188830396
18.0,-50.3837644007019
18.1,-50.32323694717835
18.2,-50.146232293176666
18.3,-50.506345209938694
18.4,-49.82375829709315
18.5,-49.94786500851961
18.6,-49.62946008494189
18.7,-49.21899239592074
18.8,-49.08267846697694
18.9,-48.594389766282646
19.0,-48.04964268457058
19.1,-47.63968362961269
19.2,-46.500343327992695
19.3,-45.51715368378221
19.4,-43.509066402176956
19.5,-37.98174003713028
19.6,-25.489687444368144
19.7,-14.367386383866128
19.8,-11.326771953917751
19.9,-13.420309758144501
