t(ms),Vm(mV)
0.0,-71.20393682764934
0.1,-71.17036697947661
0.2,-71.01777676050965
0.3,-70.77058060578317
0.4,-70.40131227588311
0.5,-69.9496452277409
0.6,-69.3514915693904
0.7,-68.6129549095903
0.8,-67.52040894178684
0.9,-65.7686732280461
1.0,-62.74738689250019
1.1,-58.53894865339131
1.2,-54.04974441138324
1.3,-50.17395284962234
1.4,-47.63790341039139
1.5,-47.30525673304341
1.6,-49.099717708094914
1.7,-52.102693217364774
1.8,-55.51155870908675
1.9,-58.856336308842614
2.0,-61.8471046005951
2.1,-64.35873960479132
2.2,-66.36987869077593
2.3,-67.94766155489434
2.4,-69.13786526283666
2.5,-69.97100785839628
2.6,-70.58747234302281
2.7,-71.0360875867857
2.8,-71.3321126115816
2.9,-71.49385824368659
3.0,-71.53963530937666
3.1,-71.46944380865186
3.2,-71.29549095902952
3.3,-71.00556954299229
3.4,-70.67902647440299
3.5,-70.2761882963302
3.6,-69.74517433432517
3.7,-69.06157015335317
3.8,-68.13382162203403
3.9,-66.5926604104677
4.0,-63.849088273441666
4.1,-59.80239566643778
4.2,-55.279621576256964
4.3,-51.193255512321656
4.4,-48.269626916914625
4.5,-47.39070725566491
4.6,-48.75181200885023
4.7,-51.528953994048976
4.8,-54.88288700694285
4.9,-58.2429236285954
5.0,-61.27641718165866
5.1,-63.84603646906233
5.2,-65.95483329518578
5.3,-67.56008239871825
5.4,-68.80521858548867
5.5,-69.76043335622187
5.6,-70.48981460288395
5.7,-71.0055695429923
5.8,-71.37178606851302
5.9,-71.55794613565271
6.0,-71.62813763637752
6.1,-71.55184252689402
6.2,-71.4419775692378
6.3,-71.22224765392538
6.4,-70.92011902037079
6.5,-70.52033264667735
6.6,-70.02594033722438
6.7,-69.2965590905623
6.8,-68.35355153734646
6.9,-66.96498054474709
7.0,-64.55100328068971
7.1,-60.76066224155032
7.2,-56.283665217059585
7.3,-52.00198367284658
7.4,-48.67551689936675
7.5,-47.146562905317765
7.6,-47.96139467460135
7.7,-50.45777065690089
7.8,-53.698786907759214
7.9,-57.10154879072251
8.0,-60.2693217364767
8.1,-62.99153124284733
8.2,-65.20103761348898
8.3,-66.94056610971238
8.4,-68.24979018844893
8.5,-69.24773022049287
8.6,-69.9649042496376
8.7,-70.49286640726329
8.8,-70.9048599984741
8.9,-71.16731517509727
9.0,-71.3015945677882
9.1,-71.30769817654688
9.2,-71.18257419699397
9.3,-70.96284428168154
9.4,-70.65766384374761
9.5,-70.23346303501945
9.6,-69.69634546425574
9.7,-69.02189669642176
9.8,-68.10940718699932
9.9,-66.8337529564355
10.0,-64.7127489127947
10.1,-61.23064011596857
10.2,-56.80857557030594
10.3,-52.386511024643326
10.4,-48.78843366140231
10.5,-46.82917524986648
10.6,-47.15571831845578
10.7,-49.42320897230488
10.8,-52.62149996185245
10.9,-56.030365453574426
11.0,-59.21644922560465
11.1,-62.0180056458381
11.2,-64.29770351720454
11.3,-66.13488975356681
11.4,-67.55092698558023
11.5,-68.67093919279775
11.6,-69.47661554894331
11.7,-70.04730296787976
11.8,-70.4470893415732
11.9,-70.70649271381704
12.0,-70.81330586709392
12.1,-70.86518654154268
12.2,-70.80109864957656
12.3,-70.66987106126497
12.4,-70.42267490653849
12.5,-70.0350957503624
12.6,-69.51934081025406
12.7,-68.91508354314489
12.8,-68.07583733882659
12.9,-66.96192874036775
13.0,-65.16136415655758
13.1,-61.93865873197528
13.2,-57.61730373083085
13.3,-53.106736858167395
13.4,-49.25535973144122
13.5,-46.88410772869459
13.6,-46.83527885862516
13.7,-48.82200350957503
13.8,-51.96536202029449
13.9,-55.39253833829252
14.0,-58.639658197909505
14.1,-61.496147096971086
14.2,-63.858243686579684
14.3,-65.74731059739071
14.4,-67.26405737392234
14.5,-68.42069123369193
14.6,-69.29350728618296
14.7,-69.94048981460288
14.8,-70.38605325398642
14.9,-70.64545662623026
15.0,-70.77668421454185
